2013-03-01 7:29:16,0,0,1,0
2013-03-01 10:27:14,0,0,1,0
2013-03-01 16:49:17,0,0,1,0
2013-03-01 17:01:43,0,0,1,0
2013-03-01 17:32:26,0.4404,0,0.791,0.209
2013-03-01 17:40:51,-0.4588,0.211,0.789,0
2013-03-01 18:04:58,0.4019,0,0.816,0.184
2013-03-01 18:12:21,-0.3818,0.206,0.794,0
2013-03-01 18:38:27,0.34,0.149,0.608,0.243
2013-03-01 18:49:42,0.5859,0,0.441,0.559
2013-03-01 19:01:42,0,0,1,0
2013-03-01 21:57:04,0.8997,0,0.5,0.5
2013-03-01 23:04:13,0,0,1,0
2013-03-02 0:16:48,0.5859,0,0.648,0.352
2013-03-02 1:06:26,0.5411,0,0.791,0.209
2013-03-02 1:28:13,0.8074,0,0.684,0.316
2013-03-02 22:58:29,0,0,1,0
2013-03-03 3:04:52,0,0,1,0
2013-03-03 17:13:25,0.3595,0,0.815,0.185
2013-03-03 17:40:46,0.4019,0,0.891,0.109
2013-03-07 0:49:02,0.3612,0,0.878,0.122
2013-03-08 16:03:12,0.5994,0,0.71,0.29
2013-03-08 16:19:15,0.5632,0,0.703,0.297
2013-03-08 16:37:27,0.6633,0,0.747,0.253
2013-03-08 16:44:48,-0.5106,0.202,0.798,0
2013-03-08 17:16:35,-0.5255,0.25,0.635,0.115
2013-03-08 17:20:02,0.6249,0,0.785,0.215
2013-03-08 17:26:49,0.34,0,0.769,0.231
2013-03-08 17:38:34,0.4753,0,0.393,0.607
2013-03-08 19:27:21,-0.3595,0.116,0.884,0
2013-03-09 5:44:37,0.34,0.092,0.724,0.184
2013-03-09 21:55:35,-0.3818,0.106,0.894,0
2013-03-10 0:28:52,-0.4389,0.366,0.634,0
2013-03-17 20:20:24,-0.4389,0.194,0.806,0
2013-03-17 20:32:54,0.7959,0,0.331,0.669
2013-03-19 5:03:05,0.4215,0,0.641,0.359
2013-03-20 2:53:40,0,0,1,0
2013-03-20 3:00:37,0.802,0,0.647,0.353
2013-03-20 8:30:09,0,0,1,0
2013-03-23 2:04:01,0.4871,0,0.717,0.283
2013-03-23 2:26:25,0.5106,0.131,0.638,0.231
